"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-73728","R-HSA-73728","RNA Polymerase I Promoter Opening","16/324","62/11146",0.258064516129032,8.87773795300677,10.7623693692331,1.46439196003164e-11,1.44309171334027e-09,8.98253824287348e-10,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-5625740","R-HSA-5625740","RHO GTPases activate PKNs","19/324","94/11146",0.202127659574468,6.95344102968216,10.0292930558827,1.88300837211131e-11,1.5572957884386e-09,9.69340260622592e-10,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/PPP1CB/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/SFN/H2BC13/YWHAZ",19
"R-HSA-606279","R-HSA-606279","Deposition of new CENPA-containing nucleosomes at the centromere","17/324","73/11146",0.232876712328767,8.01124640622357,10.3987895057729,2.01126762344469e-11,1.5572957884386e-09,9.69340260622592e-10,"H2BC21/H4C16/H2AC8/H2BC5/H4C4/NPM1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/CENPW/H2BC13/CENPL",17
"R-HSA-774815","R-HSA-774815","Nucleosome assembly","17/324","73/11146",0.232876712328767,8.01124640622357,10.3987895057729,2.01126762344469e-11,1.5572957884386e-09,9.69340260622592e-10,"H2BC21/H4C16/H2AC8/H2BC5/H4C4/NPM1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/CENPW/H2BC13/CENPL",17
"R-HSA-5334118","R-HSA-5334118","DNA methylation","16/324","64/11146",0.25,8.60030864197531,10.5504484478607,2.48274664370838e-11,1.68746215459999e-09,1.0503624403754e-09,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-69306","R-HSA-69306","DNA Replication","26/324","186/11146",0.139784946236559,4.80877472454533,9.06348579023789,2.49071904738006e-11,1.68746215459999e-09,1.0503624403754e-09,"H2BC21/GMNN/UBB/ANAPC15/UBC/RPA3/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/UBE2E1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/RPS27A/H2AC4/H2BC10/H2BC9/PSMB5/PSMB10/CDC7/H2BC13",26
"R-HSA-5617472","R-HSA-5617472","Activation of anterior HOX genes in hindbrain development during early embryogenesis","21/324","121/11146",0.173553719008264,5.97046219773492,9.51171738625972,3.44224377710787e-11,2.07299569688052e-09,1.29033816440126e-09,"H2BC21/H4C16/H2AC8/H3-3A/JUN/H2BC5/H3-3B/H4C4/PAGR1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/MAFB/MEIS1/H2BC13/AJUBA",21
"R-HSA-5619507","R-HSA-5619507","Activation of HOX genes during differentiation","21/324","121/11146",0.173553719008264,5.97046219773492,9.51171738625972,3.44224377710787e-11,2.07299569688052e-09,1.29033816440126e-09,"H2BC21/H4C16/H2AC8/H3-3A/JUN/H2BC5/H3-3B/H4C4/PAGR1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/MAFB/MEIS1/H2BC13/AJUBA",21
"R-HSA-5625886","R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","16/324","66/11146",0.242424242424242,8.33969322858212,10.347579523001,4.12399651182224e-11,2.35284853621859e-09,1.46453283328424e-09,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-427359","R-HSA-427359","SIRT1 negatively regulates rRNA expression","16/324","67/11146",0.238805970149254,8.2152201953197,10.2493302347876,5.27680024295664e-11,2.72383403017381e-09,1.69545311064421e-09,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-9670095","R-HSA-9670095","Inhibition of DNA recombination at telomere","16/324","67/11146",0.238805970149254,8.2152201953197,10.2493302347876,5.27680024295664e-11,2.72383403017381e-09,1.69545311064421e-09,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-68616","R-HSA-68616","Assembly of the ORC complex at the origin of replication","16/324","68/11146",0.235294117647059,8.09440813362382,10.1531013640124,6.72085045958133e-11,3.31154631735735e-09,2.06127518879982e-09,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-9821993","R-HSA-9821993","Replacement of protamines by nucleosomes in the male pronucleus","13/324","42/11146",0.30952380952381,10.648001175779,10.8387960172727,9.94885249554862e-11,4.48595090169627e-09,2.79228445133745e-09,"H2BC21/H4C16/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H4C5/H2BC11/H2BC10/H2BC9/H2BC13",13
"R-HSA-68875","R-HSA-68875","Mitotic Prophase","22/324","141/11146",0.156028368794326,5.36756851414062,9.0305257658821,1.01559581898694e-10,4.48595090169627e-09,2.79228445133745e-09,"H2BC21/BANF1/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/CDK1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/CNEP1R1/H2AC4/H2BC10/H2BC9/SMC4/ARPP19/NEK7/H2BC13",22
"R-HSA-9821002","R-HSA-9821002","Chromatin modifications during the maternal to zygotic transition (MZT)","16/324","70/11146",0.228571428571429,7.863139329806,9.96641893992379,1.07596608343269e-10,4.48595090169627e-09,2.79228445133745e-09,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-9843970","R-HSA-9843970","Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex","16/324","70/11146",0.228571428571429,7.863139329806,9.96641893992379,1.07596608343269e-10,4.48595090169627e-09,2.79228445133745e-09,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-171306","R-HSA-171306","Packaging Of Telomere Ends","14/324","51/11146",0.274509803921569,9.44347615589446,10.4568647959771,1.13877312170562e-10,4.57196319973662e-09,2.84582288894074e-09,"H2BC21/H4C16/H2AC8/H2BC5/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",14
"R-HSA-8939236","R-HSA-8939236","RUNX1 regulates transcription of genes involved in differentiation of HSCs","21/324","129/11146",0.162790697674419,5.60020097616997,9.09282353826425,1.20663214840784e-10,4.67139017455037e-09,2.90771130499785e-09,"H2BC21/UBB/UBC/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/RPS27A/H2AC4/H2BC10/H2BC9/PSMB5/PSMB10/H2BC13",21
"R-HSA-9006931","R-HSA-9006931","Signaling by Nuclear Receptors","32/324","298/11146",0.10738255033557,3.69409230259342,8.15651316589489,1.4496682685412e-10,5.41876001068502e-09,3.37291237798514e-09,"H2BC21/JUND/MYC/H4C16/HSPB1/PTGES3/H2AC8/H3-3A/JUN/GNG11/GNGT1/CDKN1B/CALM2/H2BC5/H3-3B/CAV2/H4C4/GTF2F2/DDX5/FOXA1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/GNG5/EBAG9/PDHX/H2BC13",32
"R-HSA-212300","R-HSA-212300","PRC2 methylates histones and DNA","16/324","72/11146",0.222222222222222,7.64471879286694,9.7869951137634,1.69409082556592e-10,5.923853080366e-09,3.68730804478016e-09,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-9710421","R-HSA-9710421","Defective pyroptosis","16/324","72/11146",0.222222222222222,7.64471879286694,9.7869951137634,1.69409082556592e-10,5.923853080366e-09,3.68730804478016e-09,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-427389","R-HSA-427389","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","16/324","75/11146",0.213333333333333,7.33893004115226,9.53041784113555,3.25122357374134e-10,1.0395265156841e-08,6.47054279038169e-09,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-977225","R-HSA-977225","Amyloid fiber formation","19/324","110/11146",0.172727272727273,5.94203142536476,9.01269711186631,3.30766547089489e-10,1.0395265156841e-08,6.47054279038169e-09,"H2BC21/H2AZ1/UBB/UBC/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H4C5/H2BC11/RPS27A/H2AC4/H2BC10/H2BC9/H2BC13",19
"R-HSA-110330","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine","14/324","55/11146",0.254545454545455,8.75667789001122,9.97770192820277,3.4523020816077e-10,1.0395265156841e-08,6.47054279038169e-09,"H2BC21/H4C16/H2AC8/H2BC5/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",14
"R-HSA-110331","R-HSA-110331","Cleavage of the damaged purine","14/324","55/11146",0.254545454545455,8.75667789001122,9.97770192820277,3.4523020816077e-10,1.0395265156841e-08,6.47054279038169e-09,"H2BC21/H4C16/H2AC8/H2BC5/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",14
"R-HSA-73927","R-HSA-73927","Depurination","14/324","55/11146",0.254545454545455,8.75667789001122,9.97770192820277,3.4523020816077e-10,1.0395265156841e-08,6.47054279038169e-09,"H2BC21/H4C16/H2AC8/H2BC5/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",14
"R-HSA-69481","R-HSA-69481","G2/M Checkpoints","23/324","167/11146",0.137724550898204,4.73789458120795,8.42098063559271,4.94732694159964e-10,1.44943308234973e-08,9.02201015523577e-09,"H2BC21/UBB/UBC/RPA3/H4C16/BABAM2/H2BC5/H4C4/CDK1/H2BC4/H4C2/H4C5/H2BC11/RPS27A/H2BC10/H2BC9/PSMB5/CHEK1/PSMB10/SFN/CDC7/H2BC13/YWHAZ",23
"R-HSA-201722","R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex","17/324","90/11146",0.188888888888889,6.4980109739369,9.06121882900381,6.78908851719609e-10,1.88701844939502e-08,1.17457644791436e-08,"H2BC21/MYC/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",17
"R-HSA-5250924","R-HSA-5250924","B-WICH complex positively regulates rRNA expression","17/324","90/11146",0.188888888888889,6.4980109739369,9.06121882900381,6.78908851719609e-10,1.88701844939502e-08,1.17457644791436e-08,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/ACTB/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",17
"R-HSA-2559586","R-HSA-2559586","DNA Damage/Telomere Stress Induced Senescence","16/324","79/11146",0.20253164556962,6.96733864666354,9.20954240995503,7.38010712788504e-10,2.00000903165685e-08,1.24490754446692e-08,"H2BC21/H4C16/H2AC8/CDKN1B/H2BC5/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H1-2/H2BC13",16
"R-HSA-1912408","R-HSA-1912408","Pre-NOTCH Transcription and Translation","17/324","92/11146",0.184782608695652,6.35674986580784,8.92676963890882,9.71472569821644e-10,2.54384854925169e-08,1.58342097501489e-08,"H2BC21/H4C16/H2AC8/H3-3A/JUN/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",17
"R-HSA-9816359","R-HSA-9816359","Maternal to zygotic transition (MZT)","19/324","117/11146",0.162393162393162,5.58652527171046,8.62913831015175,9.85623976647332e-10,2.54384854925169e-08,1.58342097501489e-08,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/ZFP36L2/PABPC1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/PAIP1/H2BC13",19
"R-HSA-110328","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine","14/324","60/11146",0.233333333333333,8.02695473251029,9.44308982033181,1.20610669549225e-09,2.90537701758576e-08,1.80845471768545e-08,"H2BC21/H4C16/H2AC8/H2BC5/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",14
"R-HSA-110329","R-HSA-110329","Cleavage of the damaged pyrimidine","14/324","60/11146",0.233333333333333,8.02695473251029,9.44308982033181,1.20610669549225e-09,2.90537701758576e-08,1.80845471768545e-08,"H2BC21/H4C16/H2AC8/H2BC5/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",14
"R-HSA-73928","R-HSA-73928","Depyrimidination","14/324","60/11146",0.233333333333333,8.02695473251029,9.44308982033181,1.20610669549225e-09,2.90537701758576e-08,1.80845471768545e-08,"H2BC21/H4C16/H2AC8/H2BC5/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",14
"R-HSA-427413","R-HSA-427413","NoRC negatively regulates rRNA expression","18/324","106/11146",0.169811320754717,5.84171907756813,8.66616114152097,1.3013096609124e-09,3.04546698279585e-08,1.8956538512062e-08,"H2BC21/H4C16/H2AC8/H3-3A/SAP18/H2BC5/H3-3B/H4C4/H2BC4/SAP30/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",18
"R-HSA-1500620","R-HSA-1500620","Meiosis","19/324","119/11146",0.159663865546218,5.49263409067331,8.52520082677356,1.32607041577531e-09,3.04546698279585e-08,1.8956538512062e-08,"H2BC21/RPA3/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/CDK4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13/MND1",19
"R-HSA-69473","R-HSA-69473","G2/M DNA damage checkpoint","17/324","94/11146",0.180851063829787,6.22149986866299,8.7962494485093,1.37664097930809e-09,3.04546698279585e-08,1.8956538512062e-08,"H2BC21/RPA3/H4C16/BABAM2/H2BC5/H4C4/CDK1/H2BC4/H4C2/H4C5/H2BC11/H2BC10/H2BC9/CHEK1/SFN/H2BC13/YWHAZ",17
"R-HSA-8936459","R-HSA-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","17/324","94/11146",0.180851063829787,6.22149986866299,8.7962494485093,1.37664097930809e-09,3.04546698279585e-08,1.8956538512062e-08,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/PRMT6/H2BC13",17
"R-HSA-73929","R-HSA-73929","Base-Excision Repair, AP Site Formation","14/324","62/11146",0.225806451612903,7.76802070888092,9.24630131163397,1.918412321777e-09,4.15911791361253e-08,2.58884694370327e-08,"H2BC21/H4C16/H2AC8/H2BC5/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",14
"R-HSA-5250941","R-HSA-5250941","Negative epigenetic regulation of rRNA expression","18/324","109/11146",0.165137614678899,5.6809378185525,8.4972691836631,2.07752488044996e-09,4.4157587655054e-08,2.74859328868612e-08,"H2BC21/H4C16/H2AC8/H3-3A/SAP18/H2BC5/H3-3B/H4C4/H2BC4/SAP30/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",18
"R-HSA-5693607","R-HSA-5693607","Processing of DNA double-strand break ends","17/324","97/11146",0.175257731958763,6.02908234695176,8.60739837738945,2.28245753634277e-09,4.66827164036899e-08,2.90577017039864e-08,"H2BC21/UBB/UBC/RPA3/H4C16/BABAM2/H2BC5/H4C4/H2BC4/H4C2/H4C5/H2BC11/RPS27A/H2BC10/H2BC9/CHEK1/H2BC13",17
"R-HSA-9845323","R-HSA-9845323","Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)","17/324","97/11146",0.175257731958763,6.02908234695176,8.60739837738945,2.28245753634277e-09,4.66827164036899e-08,2.90577017039864e-08,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/ACTB/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",17
"R-HSA-201681","R-HSA-201681","TCF dependent signaling in response to WNT","26/324","232/11146",0.112068965517241,3.85531077054066,7.60438642647266,3.38359098366006e-09,6.79224560423612e-08,4.22783980609376e-08,"H2BC21/SOX4/MYC/UBB/UBC/H4C16/WNT5A/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/FRAT2/H2BC4/H4C2/H2AJ/H4C5/H2BC11/RPS27A/H2AC4/H2BC10/H2BC9/PSMB5/PSMB10/H2BC13/YWHAZ",26
"R-HSA-73886","R-HSA-73886","Chromosome Maintenance","20/324","140/11146",0.142857142857143,4.91446208112875,8.06454984981926,3.61351040792348e-09,7.12190051307101e-08,4.43303382101235e-08,"H2BC21/RPA3/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/NPM1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/CENPW/H2BC13/CENPL",20
"R-HSA-68886","R-HSA-68886","M Phase","36/324","417/11146",0.0863309352517986,2.96989075406342,7.09396960480403,4.26179144130263e-09,8.24961057566438e-08,5.1349780335996e-08,"H2BC21/UBB/ANAPC15/BANF1/UBC/H4C16/TUBB/H2AC8/H3-3A/DYNLL1/H2BC5/H3-3B/H4C4/SPC25/UBE2E1/CDK1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/CNEP1R1/RPS27A/H2AC4/RAN/H2BC10/H2BC9/SMC4/PSMB5/PSMB10/CEP70/ARPP19/NEK7/H2BC13/TUBA1B/CENPL",36
"R-HSA-5693565","R-HSA-5693565","Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks","15/324","77/11146",0.194805194805195,6.7015392015392,8.68644472217637,4.47370127428337e-09,8.50788101986521e-08,5.29573871988114e-08,"H2BC21/UBB/UBC/H4C16/BABAM2/H2BC5/H4C4/H2BC4/H4C2/H4C5/H2BC11/RPS27A/H2BC10/H2BC9/H2BC13",15
"R-HSA-5693606","R-HSA-5693606","DNA Double Strand Break Response","15/324","78/11146",0.192307692307692,6.6156220322887,8.6113129414637,5.39499647679827e-09,1.00830623807747e-07,6.27621187228256e-08,"H2BC21/UBB/UBC/H4C16/BABAM2/H2BC5/H4C4/H2BC4/H4C2/H4C5/H2BC11/RPS27A/H2BC10/H2BC9/H2BC13",15
"R-HSA-73772","R-HSA-73772","RNA Polymerase I Promoter Escape","16/324","90/11146",0.177777777777778,6.11577503429355,8.43125946554729,5.49709145047625e-09,1.0099740902231e-07,6.28659343399693e-08,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",16
"R-HSA-195258","R-HSA-195258","RHO GTPase Effectors","31/324","326/11146",0.0950920245398773,3.27128304173294,7.20153713802933,5.66432243210515e-09,1.02335425273366e-07,6.36987838417439e-08,"H2BC21/H4C16/PRC1/H2AC8/H3-3A/CDKN1B/CALM2/DYNLL1/H2BC5/H3-3B/ARPC5/H4C4/ACTB/SPC25/H2BC4/PPP1CB/H4C2/H2AJ/H4C5/H2BC11/PFN2/H2AC4/H2BC10/PFN1/H2BC9/SFN/ACTG1/H2BC13/TUBA1B/YWHAZ/CENPL",31
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints","29/324","292/11146",0.0993150684931507,3.41656096736005,7.24024146329349,6.76828794569155e-09,1.20275805461142e-07,7.486579073664e-08,"H2BC21/UBB/ANAPC15/UBC/RPA3/H4C16/BABAM2/CDKN1B/DYNLL1/H2BC5/H4C4/SPC25/UBE2E1/CDK1/H2BC4/H4C2/H4C5/H2BC11/RPS27A/H2BC10/H2BC9/PSMB5/CHEK1/PSMB10/SFN/CDC7/H2BC13/YWHAZ/CENPL",29
"R-HSA-9645723","R-HSA-9645723","Diseases of programmed cell death","17/324","104/11146",0.163461538461538,5.62327872744539,8.19599437862011,6.8987103838313e-09,1.20616162194728e-07,7.50776461126633e-08,"H2BC21/H4C16/H2AC8/H3-3A/JUN/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",17
"R-HSA-5250913","R-HSA-5250913","Positive epigenetic regulation of rRNA expression","17/324","105/11146",0.161904761904762,5.56972369194591,8.14027660879285,8.01713227107916e-09,1.35790177841403e-07,8.45227267395024e-08,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/ACTB/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",17
"R-HSA-5578749","R-HSA-5578749","Transcriptional regulation by small RNAs","17/324","105/11146",0.161904761904762,5.56972369194591,8.14027660879285,8.01713227107916e-09,1.35790177841403e-07,8.45227267395024e-08,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/RAN/H2BC10/H2BC9/H2BC13",17
